wod1,wod2
"In front of a clock set for 12 minutes:
1 minute of double-unders
1 minute of 50-lb. dumbbell snatches
2 minutes of double-unders
2 minutes of 50-lb. dumbbell snatches
3 minutes of double-unders
3 minutes of 50-lb. dumbbell snatches",Post reps for each set to comments.
"5 attempts at each of the following:
Broad jump 50 ft. in as few jumps as possible
3 pull-ups as slow as possible
Max set of strict freestanding handstand push-ups
Rest as needed between attempts.","Post lowest number of jumps, longest pull-up time, and reps of handstand push-ups to comments."
"4 rounds for time of:
30 push-ups
115-lb. front squats, 20 reps
115-lb. push presses, 20 reps
30 GHD sit-ups",Post time to comments.
Rest Day,"""CrossFit Clobbers Competitor with Sanctions in False Advertising Case,"" The Litigation Daily."
"5 rounds for reps of:
1 minute of box jumps, 24-in. box
1 minute of wall-ball shots, 20-lb. ball
1 minute of rowing (calories)",Rest 1 minute
Back squat 5-5-5-5-5 reps,Post loads to comments.
"10 1-minute rounds of:
185-lb. thrusters, 3 reps
60-yard shuttle sprint (5 yards, 10 yards, 15 yards)
Max reps of chest-to-bar pull-ups",Rest 2 minutes between rounds.
Rest Day,"""How We Really Die,"" The New York Times."
Clean and jerk 5-5-3-3-3-1-1-1-1 reps,Post loads to comments.
"21-15-9 reps for time of:
Hang squat cleans, 50-lb. dumbbells
Handstand push-ups",Post time to comments.
"5 rounds for reps of:
1 minute of 75-lb. sumo deadlift high pulls
1 minute of 75-lb push presses
1 minute of rowing",Rest 1 minute
Rest Day,"""Court Confirms NSCA Staff Hid Documents, Committed Perjury,"" by Russell Berger."
Double Grace,"For time:
135-lb. clean and jerk, 60 reps"
10 200-meter sprints,Rest as needed between efforts.
"15-12-9 reps for time of:
Double body-weight deadlifts
3/4 body-weight shoulder presses",Post time to comments.
Rest Day,"""Why exercise is the best medicine for your brain,"" Los Angeles Times."
Pat,"Wearing a 20-lb. vest, 6 rounds for time:
25 pull-ups
50-ft. front-rack lunge, 75 lb.
25 push-ups
50-ft. front-rack lunge, 75 lb."
2017 Regional Event 6,"For time:
30-cal. bike
20 burpee box jump-overs
10 odd-object cleans"
Robbie,"Complete as many rounds as possible in 25 minutes of:
8 freestanding handstand push-ups
15-foot L-sit rope climb, 1 ascent"
Rest Day,"""The Messy Relationship Between Food Stamps and Health,""  The Atlantic."
"3 rounds for time of:
20 one-legged squats with a 45-lb. dumbbell, alternating
30 GHD sit-ups",Post time to comments.
2017 Regional Event 5,"21-15-9 reps for time of:
Muscle-ups
Single-arm overhead squats"
"Hang squat clean 3-3-3 reps
Front squat 3-3-3 reps
Split jerk 3-3-3 reps",Post loads to comments.
Rest Day,"""Why exercise is the best medicine for your brain,"" LA Times."
"3 rounds for time of:
Row 250 meters
65-lb. squat snatches, 12 reps
21 push-ups",Post time to comments.
2017 Regional Event 4,"For time:
60-ft. handstand walk
10 toes-to-bars
10 double kettlebell deadlifts
60-ft. handstand walk
12 toes-to-bars
12 double kettlebell deadlifts
60-ft. handstand walk
14 toes-to-bars
14 double kettlebell deadlifts
60-ft. handstand walk
16 toes-to-bars
16 double kettlebell deadlifts"
2017 Regional Event 1,"For time, wearing a weight vest:
1,200-m run
Then, 12 rounds of:
  4 strict handstand push-ups
  8 chest-to-bar pull-ups
  12 squats"
Rest Day,"""The Sugar Industry Is No Friend to the Poor,"" Seattle Weekly."
"Complete as many reps as possible in 20 minutes of:
Run 400 meters
Max rep body-weight overhead squats",Post number of overhead squats completed each round to comments.
"Row 1,000 meters",Post time to comments.
2017 Regional Event 3,"For time:
100-ft. dumbbell overhead walking lunge
100 double-unders
50 wall-ball shots
15-ft. rope climb, 10 ascents
50 wall-ball shots
100 double-unders
100-ft. dumbbell overhead walking lunge"
Rest Day,"""Penn State CrossFit."""
"Sumo deadlift 5-5-5-5-5 reps
Bench press 5-5-5-5-5 reps",Post loads to comments.
"Complete as many rounds as possible in 20 minutes of:
Run 400 meters
20 GHD sit-ups
95-lb. overhead squats, 10 reps",Post rounds completed to comments.
2017 Regional Event 2,"21-15-9 reps for time of:
Dumbbell snatches
Ring dips"
Rest Day,"""Life Expectancy Can Vary By 20 Years Depending On Where You Live,"" NPR."
"For time:
150 single-unders
20 bar muscle-ups
10 squat cleans, 115 lb.
150 single-unders
15 bar muscle-ups
15 squat cleans, 115 lb.
150 single-unders
10 bar muscle-ups
20 squat cleans, 115 lb.
150 single-unders",Post time to comments.
"Complete as many rounds as possible in 12 minutes of:
Run 200 meters
50-ft. handstand walk
30-second handstand hold",Post rounds completed to comments.
Quarter Gone Bad,"5 rounds for total reps of:
135-lb. thrusters, 15 seconds
Rest 45 seconds
50-lb. weighted pull-ups, 15 seconds
Rest 45 seconds
Burpees, 15 seconds
Rest 45 seconds"
Rest Day,"""Overweight kids are costing America billions,""  USA Today."
"50-40-30-20-10 reps for time of:
Wall-ball shots, 20-lb. ball
Box jumps, 24-in. box",Post time to comments.
"For time:
15 push presses
5 rope ascents
12 push presses
4 rope ascents
9 push presses
3 rope ascents
6 push presses
2 rope ascents
3 push presses
1 rope ascent",Use ¾ body weight for push presses and climb a 15-ft. rope.
Hang squat snatch 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""The amputation rate for diabetics in poor areas is high. This Boyle Heights clinic is trying to change that,"" Los Angeles Times."
"7 rounds for time of:
75-lb. shoulder presses, 21 reps
21 back extensions",Post time to comments.
Miron,"5 rounds for time of:
800-meter run
23 back squats, ¾ body weight
13 deadlifts, 1 ½ body weight"
"Complete as many rounds as possible in 20 minutes of:
45-lb. dumbbell squat cleans, 10 reps
15 pull-ups
20 box jumps",Post rounds completed to comments.
Rest Day,"""New Way to Reverse Diabetes?"" The Doctors."
Thruster 1-1-1-1-1-1-1 reps,Post loads to comments.
Annie,"50-40-30-20 and 10-rep rounds of:
Double-unders
Sit-ups"
AGOQ Workout 4,"2 rounds for time:
10 deadlifts, 315 lb.
20 deficit handstand push-ups, 4.5-in. deficit
30 front squats, 95 lb."
Rest Day,"""Drinking Too Much Soda May Be Linked to Alzheimer's,"" Bloomberg."
AGOQ Workout 3,"21-15-9 reps for time of:
Shoulder-to-overheads, 135 lb.
Chest-to-bar pull-ups"
AGOQ Workout 2,"Complete as many rounds and reps as possible in 4, 8, 12, 16 or 20 minutes of:
25 toes-to-bars
50 double-unders
15 squat cleans*"
